,movie,year,imdb,metascore,votes,grade,runtime,genre,n_imdb
1728,The Fault in Our Stars,2014,7.7,69,321561,PG-13,126 min,"Drama, Romance            ",77
1729,Boyhood,2014,7.9,100,319599,R,165 min,Drama            ,79
1730,Maleficent,2014,7,56,314190,PG,97 min,"Action, Adventure, Family            ",70
1731,The Equalizer,2014,7.2,57,309035,R,132 min,"Action, Crime, Thriller            ",72
1732,The Lego Movie,2014,7.8,83,308974,PG,100 min,"Animation, Action, Adventure            ",78
1733,The Interview,2014,6.5,52,290315,R,112 min,"Action, Adventure, Comedy            ",65
1734,Transformers: Age of Extinction,2014,5.6,32,287012,PG-13,165 min,"Action, Adventure, Sci-Fi            ",56
1735,How to Train Your Dragon 2,2014,7.8,76,284903,PG,102 min,"Animation, Action, Adventure            ",78
1736,Neighbors,2014,6.3,68,270154,R,97 min,Comedy            ,63
1737,300: Rise of an Empire,2014,6.2,48,267186,R,102 min,Action            ,62
1738,Non-Stop,2014,7,56,237940,PG-13,106 min,"Action, Mystery, Thriller            ",70
1739,Noah,2014,5.8,68,232045,PG-13,138 min,"Action, Adventure, Drama            ",58
1740,Predestination,2014,7.5,69,230541,R,97 min,"Action, Drama, Mystery            ",75
1741,RoboCop,2014,6.2,52,208044,PG-13,117 min,"Action, Crime, Sci-Fi            ",62
1742,Transcendence,2014,6.3,42,207164,PG-13,119 min,"Drama, Sci-Fi, Thriller            ",63
1743,Teenage Mutant Ninja Turtles,2014,5.8,31,193966,PG-13,101 min,"Action, Adventure, Comedy            ",58
1744,It Follows,2014,6.8,83,189002,R,100 min,"Horror, Mystery, Thriller            ",68
1745,Chef,2014,7.3,68,178830,R,114 min,"Adventure, Comedy, Drama            ",73
1746,Interstellar,2014,8.6,74,1340337,PG-13,169 min,"Adventure, Drama, Sci-Fi            ",86
1747,Guardians of the Galaxy,2014,8,76,976435,PG-13,121 min,"Action, Adventure, Comedy            ",80
1748,Gone Girl,2014,8.1,79,780716,R,149 min,"Drama, Mystery, Thriller            ",81
1749,Captain America: The Winter Soldier,2014,7.8,70,684578,PG-13,136 min,"Action, Adventure, Sci-Fi            ",78
1750,The Grand Budapest Hotel,2014,8.1,88,647624,R,99 min,"Adventure, Comedy, Crime            ",81
1751,Whiplash,2014,8.5,88,637513,R,106 min,"Drama, Music            ",85
1752,The Imitation Game,2014,8,73,632564,PG-13,114 min,"Biography, Drama, Thriller            ",80
