,movie,year,imdb,metascore,votes,grade,runtime,genre,n_imdb
839,Moonrise Kingdom,2012,7.8,84,296578,PG-13,94 min,"Comedy, Drama, Romance            ",78
840,Les Mis├⌐rables,2012,7.6,63,290351,PG-13,158 min,"Drama, History, Musical            ",76
841,Jack Reacher,2012,7,50,289279,PG-13,130 min,"Action, Crime, Thriller            ",70
842,The Expendables 2,2012,6.6,51,280771,R,103 min,"Action, Adventure, Thriller            ",66
843,Taken 2,2012,6.2,45,276673,PG-13,92 min,"Action, Thriller            ",62
844,The Bourne Legacy,2012,6.7,61,271853,PG-13,135 min,"Action, Adventure, Thriller            ",67
845,Snow White and the Huntsman,2012,6.1,57,261938,PG-13,127 min,"Action, Adventure, Drama            ",61
846,Pitch Perfect,2012,7.2,66,261009,PG-13,112 min,"Comedy, Music, Romance            ",72
847,The Dictator,2012,6.4,58,255271,R,83 min,Comedy            ,64
848,Zero Dark Thirty,2012,7.4,95,255099,R,157 min,"Drama, Thriller            ",74
849,The Hunt,2012,8.3,77,249402,R,115 min,Drama            ,83
850,John Carter,2012,6.6,51,244780,PG-13,132 min,"Action, Adventure, Sci-Fi            ",66
851,Dredd,2012,7.1,60,238112,R,95 min,"Action, Crime, Sci-Fi            ",71
852,Dark Shadows,2012,6.2,55,233869,PG-13,113 min,"Comedy, Fantasy, Horror            ",62
853,Lincoln,2012,7.3,86,231968,PG-13,150 min,"Biography, Drama, History            ",73
854,Chronicle,2012,7,69,231585,PG-13,84 min,"Drama, Sci-Fi, Thriller            ",70
855,Total Recall,2012,6.3,43,230988,PG-13,118 min,"Action, Adventure, Sci-Fi            ",63
856,The Place Beyond the Pines,2012,7.3,68,230432,R,140 min,"Crime, Drama, Thriller            ",73
857,Battleship,2012,5.8,41,227391,PG-13,131 min,"Action, Adventure, Sci-Fi            ",58
858,Seven Psychopaths,2012,7.2,66,226988,R,110 min,"Comedy, Crime            ",72
859,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,218110,PG-13,115 min,"Adventure, Drama, Fantasy            ",55
860,Lawless,2012,7.3,58,216682,R,116 min,"Crime, Drama            ",73
861,End of Watch,2012,7.6,68,214502,R,109 min,"Action, Crime, Drama            ",76
862,Hotel Transylvania,2012,7.1,47,208478,PG,91 min,"Animation, Comedy, Family            ",71
863,Sinister,2012,6.8,53,202907,R,110 min,"Horror, Mystery, Thriller            ",68
864,Safe House,2012,6.7,52,195080,R,115 min,"Action, Thriller            ",67
865,American Reunion,2012,6.7,49,194335,R,113 min,Comedy            ,67
866,The Impossible,2012,7.6,73,182057,PG-13,114 min,"Drama, History, Thriller            ",76
867,Project X,2012,6.6,48,180224,R,88 min,Comedy            ,66
868,The Dark Knight Rises,2012,8.4,78,1415600,PG-13,164 min,"Action, Thriller            ",84
869,Django Unchained,2012,8.4,81,1243801,R,165 min,"Drama, Western            ",84
870,The Avengers,2012,8,69,1203681,PG-13,143 min,"Action, Adventure, Sci-Fi            ",80
871,The Hunger Games,2012,7.2,68,804715,PG-13,142 min,"Action, Adventure, Sci-Fi            ",72
872,The Hobbit: An Unexpected Journey,2012,7.8,58,727240,PG-13,169 min,"Adventure, Family            ",78
873,Silver Linings Playbook,2012,7.7,81,628555,R,122 min,"Comedy, Drama, Romance            ",77
874,Skyfall,2012,7.7,81,598953,PG-13,143 min,"Action, Adventure, Thriller            ",77
875,Life of Pi,2012,7.9,79,545441,PG,127 min,"Adventure, Drama, Fantasy            ",79
876,Ted,2012,6.9,62,545249,R,106 min,Comedy            ,69
877,Prometheus,2012,7,64,545090,R,124 min,"Adventure, Mystery, Sci-Fi            ",70
878,Argo,2012,7.7,86,542417,R,120 min,"Biography, Drama, Thriller            ",77
879,The Amazing Spider-Man,2012,6.9,66,534047,PG-13,136 min,"Action, Sci-Fi            ",69
880,Looper,2012,7.4,84,507571,R,113 min,"Action, Crime, Drama            ",74
881,21 Jump Street,2012,7.2,69,484980,R,109 min,"Action, Comedy, Crime            ",72
882,The Perks of Being a Wallflower,2012,8,67,428881,PG-13,103 min,Drama            ,80
883,Wreck-It Ralph,2012,7.7,72,353632,PG,101 min,"Animation, Adventure, Comedy            ",77
884,Brave,2012,7.1,69,345942,PG,93 min,"Animation, Adventure, Comedy            ",71
885,Cloud Atlas,2012,7.4,55,330277,R,172 min,"Action, Drama, Mystery            ",74
886,Men in Black 3,2012,6.8,58,317337,PG-13,106 min,"Action, Adventure, Comedy            ",68
887,Flight,2012,7.3,76,307448,R,138 min,"Drama, Thriller            ",73
888,Moonrise Kingdom,2012,7.8,84,296578,PG-13,94 min,"Comedy, Drama, Romance            ",78
889,Les Mis├⌐rables,2012,7.6,63,290351,PG-13,158 min,"Drama, History, Musical            ",76
890,Jack Reacher,2012,7,50,289279,PG-13,130 min,"Action, Crime, Thriller            ",70
891,The Expendables 2,2012,6.6,51,280771,R,103 min,"Action, Adventure, Thriller            ",66
892,Taken 2,2012,6.2,45,276673,PG-13,92 min,"Action, Thriller            ",62
893,The Bourne Legacy,2012,6.7,61,271853,PG-13,135 min,"Action, Adventure, Thriller            ",67
894,Snow White and the Huntsman,2012,6.1,57,261938,PG-13,127 min,"Action, Adventure, Drama            ",61
895,Pitch Perfect,2012,7.2,66,261009,PG-13,112 min,"Comedy, Music, Romance            ",72
896,The Dictator,2012,6.4,58,255271,R,83 min,Comedy            ,64
897,Zero Dark Thirty,2012,7.4,95,255099,R,157 min,"Drama, Thriller            ",74
898,The Hunt,2012,8.3,77,249402,R,115 min,Drama            ,83
899,John Carter,2012,6.6,51,244780,PG-13,132 min,"Action, Adventure, Sci-Fi            ",66
900,Dredd,2012,7.1,60,238112,R,95 min,"Action, Crime, Sci-Fi            ",71
901,Dark Shadows,2012,6.2,55,233869,PG-13,113 min,"Comedy, Fantasy, Horror            ",62
902,Lincoln,2012,7.3,86,231968,PG-13,150 min,"Biography, Drama, History            ",73
903,Chronicle,2012,7,69,231585,PG-13,84 min,"Drama, Sci-Fi, Thriller            ",70
904,Total Recall,2012,6.3,43,230988,PG-13,118 min,"Action, Adventure, Sci-Fi            ",63
905,The Place Beyond the Pines,2012,7.3,68,230432,R,140 min,"Crime, Drama, Thriller            ",73
906,Battleship,2012,5.8,41,227391,PG-13,131 min,"Action, Adventure, Sci-Fi            ",58
907,Seven Psychopaths,2012,7.2,66,226988,R,110 min,"Comedy, Crime            ",72
908,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,218110,PG-13,115 min,"Adventure, Drama, Fantasy            ",55
909,Lawless,2012,7.3,58,216682,R,116 min,"Crime, Drama            ",73
910,End of Watch,2012,7.6,68,214502,R,109 min,"Action, Crime, Drama            ",76
911,Hotel Transylvania,2012,7.1,47,208478,PG,91 min,"Animation, Comedy, Family            ",71
912,Sinister,2012,6.8,53,202907,R,110 min,"Horror, Mystery, Thriller            ",68
913,Safe House,2012,6.7,52,195080,R,115 min,"Action, Thriller            ",67
914,American Reunion,2012,6.7,49,194335,R,113 min,Comedy            ,67
915,The Impossible,2012,7.6,73,182057,PG-13,114 min,"Drama, History, Thriller            ",76
916,Project X,2012,6.6,48,180224,R,88 min,Comedy            ,66
917,The Dark Knight Rises,2012,8.4,78,1415600,PG-13,164 min,"Action, Thriller            ",84
918,Django Unchained,2012,8.4,81,1243801,R,165 min,"Drama, Western            ",84
919,The Avengers,2012,8,69,1203681,PG-13,143 min,"Action, Adventure, Sci-Fi            ",80
920,The Hunger Games,2012,7.2,68,804715,PG-13,142 min,"Action, Adventure, Sci-Fi            ",72
921,The Hobbit: An Unexpected Journey,2012,7.8,58,727240,PG-13,169 min,"Adventure, Family            ",78
922,Silver Linings Playbook,2012,7.7,81,628555,R,122 min,"Comedy, Drama, Romance            ",77
923,Skyfall,2012,7.7,81,598953,PG-13,143 min,"Action, Adventure, Thriller            ",77
924,Life of Pi,2012,7.9,79,545441,PG,127 min,"Adventure, Drama, Fantasy            ",79
925,Ted,2012,6.9,62,545249,R,106 min,Comedy            ,69
926,Prometheus,2012,7,64,545090,R,124 min,"Adventure, Mystery, Sci-Fi            ",70
927,Argo,2012,7.7,86,542417,R,120 min,"Biography, Drama, Thriller            ",77
928,The Amazing Spider-Man,2012,6.9,66,534047,PG-13,136 min,"Action, Sci-Fi            ",69
929,Looper,2012,7.4,84,507571,R,113 min,"Action, Crime, Drama            ",74
930,21 Jump Street,2012,7.2,69,484980,R,109 min,"Action, Comedy, Crime            ",72
931,The Perks of Being a Wallflower,2012,8,67,428881,PG-13,103 min,Drama            ,80
932,Wreck-It Ralph,2012,7.7,72,353632,PG,101 min,"Animation, Adventure, Comedy            ",77
933,Brave,2012,7.1,69,345942,PG,93 min,"Animation, Adventure, Comedy            ",71
934,Cloud Atlas,2012,7.4,55,330277,R,172 min,"Action, Drama, Mystery            ",74
935,Men in Black 3,2012,6.8,58,317337,PG-13,106 min,"Action, Adventure, Comedy            ",68
936,Flight,2012,7.3,76,307448,R,138 min,"Drama, Thriller            ",73
937,Moonrise Kingdom,2012,7.8,84,296578,PG-13,94 min,"Comedy, Drama, Romance            ",78
938,Les Mis├⌐rables,2012,7.6,63,290351,PG-13,158 min,"Drama, History, Musical            ",76
939,Jack Reacher,2012,7,50,289279,PG-13,130 min,"Action, Crime, Thriller            ",70
940,The Expendables 2,2012,6.6,51,280771,R,103 min,"Action, Adventure, Thriller            ",66
941,Taken 2,2012,6.2,45,276673,PG-13,92 min,"Action, Thriller            ",62
942,The Bourne Legacy,2012,6.7,61,271853,PG-13,135 min,"Action, Adventure, Thriller            ",67
943,Snow White and the Huntsman,2012,6.1,57,261938,PG-13,127 min,"Action, Adventure, Drama            ",61
944,Pitch Perfect,2012,7.2,66,261009,PG-13,112 min,"Comedy, Music, Romance            ",72
945,The Dictator,2012,6.4,58,255271,R,83 min,Comedy            ,64
946,Zero Dark Thirty,2012,7.4,95,255099,R,157 min,"Drama, Thriller            ",74
947,The Hunt,2012,8.3,77,249402,R,115 min,Drama            ,83
948,John Carter,2012,6.6,51,244780,PG-13,132 min,"Action, Adventure, Sci-Fi            ",66
949,Dredd,2012,7.1,60,238112,R,95 min,"Action, Crime, Sci-Fi            ",71
950,Dark Shadows,2012,6.2,55,233869,PG-13,113 min,"Comedy, Fantasy, Horror            ",62
951,Lincoln,2012,7.3,86,231968,PG-13,150 min,"Biography, Drama, History            ",73
952,Chronicle,2012,7,69,231585,PG-13,84 min,"Drama, Sci-Fi, Thriller            ",70
953,Total Recall,2012,6.3,43,230988,PG-13,118 min,"Action, Adventure, Sci-Fi            ",63
954,The Place Beyond the Pines,2012,7.3,68,230432,R,140 min,"Crime, Drama, Thriller            ",73
955,Battleship,2012,5.8,41,227391,PG-13,131 min,"Action, Adventure, Sci-Fi            ",58
956,Seven Psychopaths,2012,7.2,66,226988,R,110 min,"Comedy, Crime            ",72
957,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,218110,PG-13,115 min,"Adventure, Drama, Fantasy            ",55
958,Lawless,2012,7.3,58,216682,R,116 min,"Crime, Drama            ",73
959,End of Watch,2012,7.6,68,214502,R,109 min,"Action, Crime, Drama            ",76
960,Hotel Transylvania,2012,7.1,47,208478,PG,91 min,"Animation, Comedy, Family            ",71
961,Sinister,2012,6.8,53,202907,R,110 min,"Horror, Mystery, Thriller            ",68
962,Safe House,2012,6.7,52,195080,R,115 min,"Action, Thriller            ",67
963,American Reunion,2012,6.7,49,194335,R,113 min,Comedy            ,67
964,The Impossible,2012,7.6,73,182057,PG-13,114 min,"Drama, History, Thriller            ",76
965,Project X,2012,6.6,48,180224,R,88 min,Comedy            ,66
966,The Dark Knight Rises,2012,8.4,78,1415600,PG-13,164 min,"Action, Thriller            ",84
967,Django Unchained,2012,8.4,81,1243801,R,165 min,"Drama, Western            ",84
968,The Avengers,2012,8,69,1203681,PG-13,143 min,"Action, Adventure, Sci-Fi            ",80
969,The Hunger Games,2012,7.2,68,804715,PG-13,142 min,"Action, Adventure, Sci-Fi            ",72
970,The Hobbit: An Unexpected Journey,2012,7.8,58,727240,PG-13,169 min,"Adventure, Family            ",78
971,Silver Linings Playbook,2012,7.7,81,628555,R,122 min,"Comedy, Drama, Romance            ",77
972,Skyfall,2012,7.7,81,598953,PG-13,143 min,"Action, Adventure, Thriller            ",77
973,Life of Pi,2012,7.9,79,545441,PG,127 min,"Adventure, Drama, Fantasy            ",79
974,Ted,2012,6.9,62,545249,R,106 min,Comedy            ,69
975,Prometheus,2012,7,64,545090,R,124 min,"Adventure, Mystery, Sci-Fi            ",70
976,Argo,2012,7.7,86,542417,R,120 min,"Biography, Drama, Thriller            ",77
977,The Amazing Spider-Man,2012,6.9,66,534047,PG-13,136 min,"Action, Sci-Fi            ",69
978,Looper,2012,7.4,84,507571,R,113 min,"Action, Crime, Drama            ",74
979,21 Jump Street,2012,7.2,69,484980,R,109 min,"Action, Comedy, Crime            ",72
980,The Perks of Being a Wallflower,2012,8,67,428881,PG-13,103 min,Drama            ,80
981,Wreck-It Ralph,2012,7.7,72,353632,PG,101 min,"Animation, Adventure, Comedy            ",77
982,Brave,2012,7.1,69,345942,PG,93 min,"Animation, Adventure, Comedy            ",71
983,Cloud Atlas,2012,7.4,55,330277,R,172 min,"Action, Drama, Mystery            ",74
984,Men in Black 3,2012,6.8,58,317337,PG-13,106 min,"Action, Adventure, Comedy            ",68
985,Flight,2012,7.3,76,307448,R,138 min,"Drama, Thriller            ",73
986,Moonrise Kingdom,2012,7.8,84,296578,PG-13,94 min,"Comedy, Drama, Romance            ",78
987,Les Mis├⌐rables,2012,7.6,63,290351,PG-13,158 min,"Drama, History, Musical            ",76
988,Jack Reacher,2012,7,50,289279,PG-13,130 min,"Action, Crime, Thriller            ",70
989,The Expendables 2,2012,6.6,51,280771,R,103 min,"Action, Adventure, Thriller            ",66
990,Taken 2,2012,6.2,45,276673,PG-13,92 min,"Action, Thriller            ",62
991,The Bourne Legacy,2012,6.7,61,271853,PG-13,135 min,"Action, Adventure, Thriller            ",67
992,Snow White and the Huntsman,2012,6.1,57,261938,PG-13,127 min,"Action, Adventure, Drama            ",61
993,Pitch Perfect,2012,7.2,66,261009,PG-13,112 min,"Comedy, Music, Romance            ",72
994,The Dictator,2012,6.4,58,255271,R,83 min,Comedy            ,64
995,Zero Dark Thirty,2012,7.4,95,255099,R,157 min,"Drama, Thriller            ",74
996,The Hunt,2012,8.3,77,249402,R,115 min,Drama            ,83
997,John Carter,2012,6.6,51,244780,PG-13,132 min,"Action, Adventure, Sci-Fi            ",66
998,Dredd,2012,7.1,60,238112,R,95 min,"Action, Crime, Sci-Fi            ",71
999,Dark Shadows,2012,6.2,55,233869,PG-13,113 min,"Comedy, Fantasy, Horror            ",62
1000,Lincoln,2012,7.3,86,231968,PG-13,150 min,"Biography, Drama, History            ",73
1001,Chronicle,2012,7,69,231585,PG-13,84 min,"Drama, Sci-Fi, Thriller            ",70
1002,Total Recall,2012,6.3,43,230988,PG-13,118 min,"Action, Adventure, Sci-Fi            ",63
1003,The Place Beyond the Pines,2012,7.3,68,230432,R,140 min,"Crime, Drama, Thriller            ",73
1004,Battleship,2012,5.8,41,227391,PG-13,131 min,"Action, Adventure, Sci-Fi            ",58
1005,Seven Psychopaths,2012,7.2,66,226988,R,110 min,"Comedy, Crime            ",72
1006,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,218110,PG-13,115 min,"Adventure, Drama, Fantasy            ",55
1007,Lawless,2012,7.3,58,216682,R,116 min,"Crime, Drama            ",73
1008,End of Watch,2012,7.6,68,214502,R,109 min,"Action, Crime, Drama            ",76
1009,Hotel Transylvania,2012,7.1,47,208478,PG,91 min,"Animation, Comedy, Family            ",71
1010,Sinister,2012,6.8,53,202907,R,110 min,"Horror, Mystery, Thriller            ",68
1011,Safe House,2012,6.7,52,195080,R,115 min,"Action, Thriller            ",67
1012,American Reunion,2012,6.7,49,194335,R,113 min,Comedy            ,67
1013,The Impossible,2012,7.6,73,182057,PG-13,114 min,"Drama, History, Thriller            ",76
1014,Project X,2012,6.6,48,180224,R,88 min,Comedy            ,66
1015,The Dark Knight Rises,2012,8.4,78,1415600,PG-13,164 min,"Action, Thriller            ",84
1016,Django Unchained,2012,8.4,81,1243801,R,165 min,"Drama, Western            ",84
1017,The Avengers,2012,8,69,1203681,PG-13,143 min,"Action, Adventure, Sci-Fi            ",80
1018,The Hunger Games,2012,7.2,68,804715,PG-13,142 min,"Action, Adventure, Sci-Fi            ",72
1019,The Hobbit: An Unexpected Journey,2012,7.8,58,727240,PG-13,169 min,"Adventure, Family            ",78
1020,Silver Linings Playbook,2012,7.7,81,628555,R,122 min,"Comedy, Drama, Romance            ",77
1021,Skyfall,2012,7.7,81,598953,PG-13,143 min,"Action, Adventure, Thriller            ",77
1022,Life of Pi,2012,7.9,79,545441,PG,127 min,"Adventure, Drama, Fantasy            ",79
1023,Ted,2012,6.9,62,545249,R,106 min,Comedy            ,69
1024,Prometheus,2012,7,64,545090,R,124 min,"Adventure, Mystery, Sci-Fi            ",70
1025,Argo,2012,7.7,86,542417,R,120 min,"Biography, Drama, Thriller            ",77
1026,The Amazing Spider-Man,2012,6.9,66,534047,PG-13,136 min,"Action, Sci-Fi            ",69
1027,Looper,2012,7.4,84,507571,R,113 min,"Action, Crime, Drama            ",74
1028,21 Jump Street,2012,7.2,69,484980,R,109 min,"Action, Comedy, Crime            ",72
1029,The Perks of Being a Wallflower,2012,8,67,428881,PG-13,103 min,Drama            ,80
1030,Wreck-It Ralph,2012,7.7,72,353632,PG,101 min,"Animation, Adventure, Comedy            ",77
1031,Brave,2012,7.1,69,345942,PG,93 min,"Animation, Adventure, Comedy            ",71
1032,Cloud Atlas,2012,7.4,55,330277,R,172 min,"Action, Drama, Mystery            ",74
1033,Men in Black 3,2012,6.8,58,317337,PG-13,106 min,"Action, Adventure, Comedy            ",68
1034,Flight,2012,7.3,76,307448,R,138 min,"Drama, Thriller            ",73
1035,Moonrise Kingdom,2012,7.8,84,296578,PG-13,94 min,"Comedy, Drama, Romance            ",78
1036,Les Mis├⌐rables,2012,7.6,63,290351,PG-13,158 min,"Drama, History, Musical            ",76
1037,Jack Reacher,2012,7,50,289279,PG-13,130 min,"Action, Crime, Thriller            ",70
1038,The Expendables 2,2012,6.6,51,280771,R,103 min,"Action, Adventure, Thriller            ",66
1039,Taken 2,2012,6.2,45,276673,PG-13,92 min,"Action, Thriller            ",62
1040,The Bourne Legacy,2012,6.7,61,271853,PG-13,135 min,"Action, Adventure, Thriller            ",67
1041,Snow White and the Huntsman,2012,6.1,57,261938,PG-13,127 min,"Action, Adventure, Drama            ",61
1042,Pitch Perfect,2012,7.2,66,261009,PG-13,112 min,"Comedy, Music, Romance            ",72
1043,The Dictator,2012,6.4,58,255271,R,83 min,Comedy            ,64
1044,Zero Dark Thirty,2012,7.4,95,255099,R,157 min,"Drama, Thriller            ",74
1045,The Hunt,2012,8.3,77,249402,R,115 min,Drama            ,83
1046,John Carter,2012,6.6,51,244780,PG-13,132 min,"Action, Adventure, Sci-Fi            ",66
1047,Dredd,2012,7.1,60,238112,R,95 min,"Action, Crime, Sci-Fi            ",71
1048,Dark Shadows,2012,6.2,55,233869,PG-13,113 min,"Comedy, Fantasy, Horror            ",62
1049,Lincoln,2012,7.3,86,231968,PG-13,150 min,"Biography, Drama, History            ",73
1050,Chronicle,2012,7,69,231585,PG-13,84 min,"Drama, Sci-Fi, Thriller            ",70
1051,Total Recall,2012,6.3,43,230988,PG-13,118 min,"Action, Adventure, Sci-Fi            ",63
1052,The Place Beyond the Pines,2012,7.3,68,230432,R,140 min,"Crime, Drama, Thriller            ",73
1053,Battleship,2012,5.8,41,227391,PG-13,131 min,"Action, Adventure, Sci-Fi            ",58
1054,Seven Psychopaths,2012,7.2,66,226988,R,110 min,"Comedy, Crime            ",72
1055,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,218110,PG-13,115 min,"Adventure, Drama, Fantasy            ",55
1056,Lawless,2012,7.3,58,216682,R,116 min,"Crime, Drama            ",73
1057,End of Watch,2012,7.6,68,214502,R,109 min,"Action, Crime, Drama            ",76
1058,Hotel Transylvania,2012,7.1,47,208478,PG,91 min,"Animation, Comedy, Family            ",71
1059,Sinister,2012,6.8,53,202907,R,110 min,"Horror, Mystery, Thriller            ",68
1060,Safe House,2012,6.7,52,195080,R,115 min,"Action, Thriller            ",67
1061,American Reunion,2012,6.7,49,194335,R,113 min,Comedy            ,67
1062,The Impossible,2012,7.6,73,182057,PG-13,114 min,"Drama, History, Thriller            ",76
1063,Project X,2012,6.6,48,180224,R,88 min,Comedy            ,66
1064,The Dark Knight Rises,2012,8.4,78,1415600,PG-13,164 min,"Action, Thriller            ",84
1065,Django Unchained,2012,8.4,81,1243801,R,165 min,"Drama, Western            ",84
1066,The Avengers,2012,8,69,1203681,PG-13,143 min,"Action, Adventure, Sci-Fi            ",80
1067,The Hunger Games,2012,7.2,68,804715,PG-13,142 min,"Action, Adventure, Sci-Fi            ",72
1068,The Hobbit: An Unexpected Journey,2012,7.8,58,727240,PG-13,169 min,"Adventure, Family            ",78
1069,Silver Linings Playbook,2012,7.7,81,628555,R,122 min,"Comedy, Drama, Romance            ",77
1070,Skyfall,2012,7.7,81,598953,PG-13,143 min,"Action, Adventure, Thriller            ",77
1071,Life of Pi,2012,7.9,79,545441,PG,127 min,"Adventure, Drama, Fantasy            ",79
1072,Ted,2012,6.9,62,545249,R,106 min,Comedy            ,69
1073,Prometheus,2012,7,64,545090,R,124 min,"Adventure, Mystery, Sci-Fi            ",70
1074,Argo,2012,7.7,86,542417,R,120 min,"Biography, Drama, Thriller            ",77
1075,The Amazing Spider-Man,2012,6.9,66,534047,PG-13,136 min,"Action, Sci-Fi            ",69
1076,Looper,2012,7.4,84,507571,R,113 min,"Action, Crime, Drama            ",74
1077,21 Jump Street,2012,7.2,69,484980,R,109 min,"Action, Comedy, Crime            ",72
1078,The Perks of Being a Wallflower,2012,8,67,428881,PG-13,103 min,Drama            ,80
1079,Wreck-It Ralph,2012,7.7,72,353632,PG,101 min,"Animation, Adventure, Comedy            ",77
1080,Brave,2012,7.1,69,345942,PG,93 min,"Animation, Adventure, Comedy            ",71
1081,Cloud Atlas,2012,7.4,55,330277,R,172 min,"Action, Drama, Mystery            ",74
1082,Men in Black 3,2012,6.8,58,317337,PG-13,106 min,"Action, Adventure, Comedy            ",68
1083,Flight,2012,7.3,76,307448,R,138 min,"Drama, Thriller            ",73
1084,Moonrise Kingdom,2012,7.8,84,296578,PG-13,94 min,"Comedy, Drama, Romance            ",78
1085,Les Mis├⌐rables,2012,7.6,63,290351,PG-13,158 min,"Drama, History, Musical            ",76
1086,Jack Reacher,2012,7,50,289279,PG-13,130 min,"Action, Crime, Thriller            ",70
1087,The Expendables 2,2012,6.6,51,280771,R,103 min,"Action, Adventure, Thriller            ",66
1088,Taken 2,2012,6.2,45,276673,PG-13,92 min,"Action, Thriller            ",62
1089,The Bourne Legacy,2012,6.7,61,271853,PG-13,135 min,"Action, Adventure, Thriller            ",67
1090,Snow White and the Huntsman,2012,6.1,57,261938,PG-13,127 min,"Action, Adventure, Drama            ",61
1091,Pitch Perfect,2012,7.2,66,261009,PG-13,112 min,"Comedy, Music, Romance            ",72
1092,The Dictator,2012,6.4,58,255271,R,83 min,Comedy            ,64
1093,Zero Dark Thirty,2012,7.4,95,255099,R,157 min,"Drama, Thriller            ",74
1094,The Hunt,2012,8.3,77,249402,R,115 min,Drama            ,83
1095,John Carter,2012,6.6,51,244780,PG-13,132 min,"Action, Adventure, Sci-Fi            ",66
1096,Dredd,2012,7.1,60,238112,R,95 min,"Action, Crime, Sci-Fi            ",71
1097,Dark Shadows,2012,6.2,55,233869,PG-13,113 min,"Comedy, Fantasy, Horror            ",62
1098,Lincoln,2012,7.3,86,231968,PG-13,150 min,"Biography, Drama, History            ",73
1099,Chronicle,2012,7,69,231585,PG-13,84 min,"Drama, Sci-Fi, Thriller            ",70
1100,Total Recall,2012,6.3,43,230988,PG-13,118 min,"Action, Adventure, Sci-Fi            ",63
1101,The Place Beyond the Pines,2012,7.3,68,230432,R,140 min,"Crime, Drama, Thriller            ",73
1102,Battleship,2012,5.8,41,227391,PG-13,131 min,"Action, Adventure, Sci-Fi            ",58
1103,Seven Psychopaths,2012,7.2,66,226988,R,110 min,"Comedy, Crime            ",72
1104,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,218110,PG-13,115 min,"Adventure, Drama, Fantasy            ",55
1105,Lawless,2012,7.3,58,216682,R,116 min,"Crime, Drama            ",73
1106,End of Watch,2012,7.6,68,214502,R,109 min,"Action, Crime, Drama            ",76
1107,Hotel Transylvania,2012,7.1,47,208478,PG,91 min,"Animation, Comedy, Family            ",71
1108,Sinister,2012,6.8,53,202907,R,110 min,"Horror, Mystery, Thriller            ",68
1109,Safe House,2012,6.7,52,195080,R,115 min,"Action, Thriller            ",67
1110,American Reunion,2012,6.7,49,194335,R,113 min,Comedy            ,67
1111,The Impossible,2012,7.6,73,182057,PG-13,114 min,"Drama, History, Thriller            ",76
1112,Project X,2012,6.6,48,180224,R,88 min,Comedy            ,66
1113,The Dark Knight Rises,2012,8.4,78,1415600,PG-13,164 min,"Action, Thriller            ",84
1114,Django Unchained,2012,8.4,81,1243801,R,165 min,"Drama, Western            ",84
1115,The Avengers,2012,8,69,1203681,PG-13,143 min,"Action, Adventure, Sci-Fi            ",80
1116,The Hunger Games,2012,7.2,68,804715,PG-13,142 min,"Action, Adventure, Sci-Fi            ",72
1117,The Hobbit: An Unexpected Journey,2012,7.8,58,727240,PG-13,169 min,"Adventure, Family            ",78
1118,Silver Linings Playbook,2012,7.7,81,628555,R,122 min,"Comedy, Drama, Romance            ",77
1119,Skyfall,2012,7.7,81,598953,PG-13,143 min,"Action, Adventure, Thriller            ",77
1120,Life of Pi,2012,7.9,79,545441,PG,127 min,"Adventure, Drama, Fantasy            ",79
1121,Ted,2012,6.9,62,545249,R,106 min,Comedy            ,69
1122,Prometheus,2012,7,64,545090,R,124 min,"Adventure, Mystery, Sci-Fi            ",70
1123,Argo,2012,7.7,86,542417,R,120 min,"Biography, Drama, Thriller            ",77
1124,The Amazing Spider-Man,2012,6.9,66,534047,PG-13,136 min,"Action, Sci-Fi            ",69
1125,Looper,2012,7.4,84,507571,R,113 min,"Action, Crime, Drama            ",74
1126,21 Jump Street,2012,7.2,69,484980,R,109 min,"Action, Comedy, Crime            ",72
1127,The Perks of Being a Wallflower,2012,8,67,428881,PG-13,103 min,Drama            ,80
1128,Wreck-It Ralph,2012,7.7,72,353632,PG,101 min,"Animation, Adventure, Comedy            ",77
1129,Brave,2012,7.1,69,345942,PG,93 min,"Animation, Adventure, Comedy            ",71
1130,Cloud Atlas,2012,7.4,55,330277,R,172 min,"Action, Drama, Mystery            ",74
1131,Men in Black 3,2012,6.8,58,317337,PG-13,106 min,"Action, Adventure, Comedy            ",68
1132,Flight,2012,7.3,76,307448,R,138 min,"Drama, Thriller            ",73
1133,Moonrise Kingdom,2012,7.8,84,296578,PG-13,94 min,"Comedy, Drama, Romance            ",78
1134,Les Mis├⌐rables,2012,7.6,63,290351,PG-13,158 min,"Drama, History, Musical            ",76
1135,Jack Reacher,2012,7,50,289279,PG-13,130 min,"Action, Crime, Thriller            ",70
1136,The Expendables 2,2012,6.6,51,280771,R,103 min,"Action, Adventure, Thriller            ",66
1137,Taken 2,2012,6.2,45,276673,PG-13,92 min,"Action, Thriller            ",62
1138,The Bourne Legacy,2012,6.7,61,271853,PG-13,135 min,"Action, Adventure, Thriller            ",67
1139,Snow White and the Huntsman,2012,6.1,57,261938,PG-13,127 min,"Action, Adventure, Drama            ",61
1140,Pitch Perfect,2012,7.2,66,261009,PG-13,112 min,"Comedy, Music, Romance            ",72
